product_type1,product_type2,time,price,is_original,time_diff
A,B,2024-01-04 16:00:00,130.75996600357232,True,2.0
A,B,2024-01-04 18:00:00,137.33187507889818,True,2.0
A,B,2024-01-04 20:00:00,120.85403571506632,True,2.0
A,B,2024-01-04 22:00:00,128.3740081343559,True,2.0
A,B,2024-01-05 00:00:00,128.96289421490803,True,2.0
A,B,2024-01-05 02:00:00,124.26594225680694,True,2.0
A,B,2024-01-05 04:00:00,139.43679232726237,True,2.0
A,B,2024-01-05 06:00:00,116.44152857494798,True,2.0
A,B,2024-01-05 08:00:00,116.91683340753556,True,2.0
A,B,2024-01-05 10:00:00,134.22565230590854,True,2.0
A,B,2024-01-05 12:00:00,115.7470326879854,True,2.0
A,B,2024-01-05 14:00:00,139.40087187335308,True,2.0
A,B,2024-01-05 16:00:00,138.76569368878666,True,2.0
A,B,2024-01-05 18:00:00,114.42694663913,True,2.0
A,B,2024-01-05 20:00:00,131.4263083480052,True,2.0
A,B,2024-01-05 22:00:00,120.90336831647956,True,2.0
A,B,2024-01-06 00:00:00,,False,2.0
A,B,2024-01-06 02:00:00,,False,4.0
A,B,2024-01-06 04:00:00,,False,6.0
A,B,2024-01-06 06:00:00,,False,8.0
A,B,2024-01-06 08:00:00,,False,10.0
A,B,2024-01-06 10:00:00,,False,12.0
A,B,2024-01-06 12:00:00,,False,14.0
A,B,2024-01-06 14:00:00,,False,16.0
A,B,2024-01-06 16:00:00,,False,18.0
A,B,2024-01-06 18:00:00,,False,20.0
A,B,2024-01-06 20:00:00,,False,22.0
A,B,2024-01-06 22:00:00,,False,24.0
A,B,2024-01-07 00:00:00,,False,26.0
A,B,2024-01-07 02:00:00,,False,28.0
A,B,2024-01-07 04:00:00,,False,30.0
A,B,2024-01-07 06:00:00,,False,32.0
A,B,2024-01-07 08:00:00,,False,34.0
A,B,2024-01-07 10:00:00,,False,36.0
A,B,2024-01-07 12:00:00,,False,38.0
A,B,2024-01-07 14:00:00,,False,40.0
A,B,2024-01-07 16:00:00,,False,42.0
A,B,2024-01-07 18:00:00,,False,44.0
A,B,2024-01-07 20:00:00,,False,46.0
A,B,2024-01-07 22:00:00,,False,48.0
A,B,2024-01-08 00:00:00,,False,50.0
A,B,2024-01-08 02:00:00,,False,52.0
A,B,2024-01-08 04:00:00,,False,54.0
A,B,2024-01-08 06:00:00,,False,56.0
A,B,2024-01-08 08:00:00,,False,58.0
A,B,2024-01-08 10:00:00,,False,60.0
A,B,2024-01-08 12:00:00,,False,62.0
A,B,2024-01-08 14:00:00,,False,64.0
A,B,2024-01-08 16:00:00,,False,66.0
A,B,2024-01-08 18:00:00,,False,68.0
A,B,2024-01-08 20:00:00,,False,70.0
A,B,2024-01-08 22:00:00,,False,72.0
A,B,2024-01-09 00:00:00,116.96510124393193,True,74.0
A,B,2024-01-09 02:00:00,125.64376874293538,True,2.0
A,B,2024-01-09 04:00:00,136.35044335918792,True,2.0
A,B,2024-01-09 06:00:00,126.8323633723208,True,2.0
A,B,2024-01-09 08:00:00,137.28318349069832,True,2.0
A,B,2024-01-09 10:00:00,121.70535206317956,True,2.0
A,B,2024-01-09 12:00:00,129.58136339746525,True,2.0
A,B,2024-01-09 14:00:00,133.4756900404128,True,2.0
A,B,2024-01-09 16:00:00,133.88444004537655,True,2.0
A,B,2024-01-09 18:00:00,114.15025303199148,True,2.0
A,B,2024-01-09 20:00:00,114.62974609057932,True,2.0
A,B,2024-01-09 22:00:00,136.42320965263616,True,2.0
A,B,2024-01-10 00:00:00,121.9353821103775,True,2.0
A,B,2024-01-10 02:00:00,136.4051437742365,True,2.0
A,B,2024-01-10 04:00:00,116.30821903343562,True,2.0
A,B,2024-01-10 06:00:00,115.89121942232416,True,2.0
A,B,2024-01-10 08:00:00,133.55998890876887,True,2.0
A,B,2024-01-10 10:00:00,126.19057210355766,True,2.0
A,B,2024-01-10 12:00:00,120.85851142012577,True,2.0
A,B,2024-01-10 14:00:00,124.86800667906772,True,2.0
A,B,2024-01-10 16:00:00,127.81418382232796,True,2.0
A,B,2024-01-10 18:00:00,119.2376426403152,True,2.0
A,B,2024-01-10 20:00:00,139.3762179537891,True,2.0
A,B,2024-01-10 22:00:00,125.2474990036498,True,2.0
A,B,2024-01-11 00:00:00,117.2048376061008,True,2.0
A,B,2024-01-11 02:00:00,122.71078073093328,True,2.0
A,B,2024-01-11 04:00:00,119.97226264972888,True,2.0
A,B,2024-01-11 06:00:00,115.93638084624908,True,2.0
A,B,2024-01-11 08:00:00,119.94251256379762,True,2.0
A,B,2024-01-11 10:00:00,135.93910978836888,True,2.0
A,B,2024-01-11 12:00:00,120.1723781693796,True,2.0
A,B,2024-01-11 14:00:00,119.5695429012129,True,2.0
A,B,2024-01-11 16:00:00,137.86366271697435,True,2.0
A,B,2024-01-11 18:00:00,126.12433908381834,True,2.0
A,B,2024-01-11 20:00:00,134.61669744301625,True,2.0
A,B,2024-01-11 22:00:00,116.59425240295312,True,2.0
A,B,2024-01-12 00:00:00,124.87918393752744,True,2.0
A,B,2024-01-12 02:00:00,132.6276626872375,True,2.0
A,B,2024-01-12 04:00:00,139.09762159010586,True,2.0
A,B,2024-01-12 06:00:00,124.34763243166528,True,2.0
A,B,2024-01-12 08:00:00,135.99077868879607,True,2.0
A,B,2024-01-12 10:00:00,118.9601112987528,True,2.0
A,B,2024-01-12 12:00:00,124.83614250535202,True,2.0
A,B,2024-01-12 14:00:00,120.4717134605048,True,2.0
A,B,2024-01-12 16:00:00,125.37509417492652,True,2.0
A,B,2024-01-12 18:00:00,128.09392353136462,True,2.0
A,B,2024-01-12 20:00:00,139.48104813163542,True,2.0
A,B,2024-01-12 22:00:00,138.7128838308689,True,2.0
A,B,2024-01-13 00:00:00,,False,2.0
A,B,2024-01-13 02:00:00,,False,4.0
A,B,2024-01-13 04:00:00,,False,6.0
A,B,2024-01-13 06:00:00,,False,8.0
A,B,2024-01-13 08:00:00,,False,10.0
A,B,2024-01-13 10:00:00,,False,12.0
A,B,2024-01-13 12:00:00,,False,14.0
A,B,2024-01-13 14:00:00,,False,16.0
A,B,2024-01-13 16:00:00,,False,18.0
A,B,2024-01-13 18:00:00,,False,20.0
A,B,2024-01-13 20:00:00,,False,22.0
A,B,2024-01-13 22:00:00,,False,24.0
A,B,2024-01-14 00:00:00,,False,26.0
A,B,2024-01-14 02:00:00,,False,28.0
A,B,2024-01-14 04:00:00,,False,30.0
A,B,2024-01-14 06:00:00,,False,32.0
A,B,2024-01-14 08:00:00,,False,34.0
A,B,2024-01-14 10:00:00,,False,36.0
A,B,2024-01-14 12:00:00,,False,38.0
A,B,2024-01-14 14:00:00,,False,40.0
A,B,2024-01-14 16:00:00,,False,42.0
A,B,2024-01-14 18:00:00,,False,44.0
A,B,2024-01-14 20:00:00,,False,46.0
A,B,2024-01-14 22:00:00,,False,48.0
A,B,2024-01-15 00:00:00,,False,50.0
A,B,2024-01-15 02:00:00,,False,52.0
A,B,2024-01-15 04:00:00,,False,54.0
A,B,2024-01-15 06:00:00,,False,56.0
A,B,2024-01-15 08:00:00,,False,58.0
A,B,2024-01-15 10:00:00,,False,60.0
A,B,2024-01-15 12:00:00,,False,62.0
A,B,2024-01-15 14:00:00,,False,64.0
A,B,2024-01-15 16:00:00,,False,66.0
A,B,2024-01-15 18:00:00,,False,68.0
A,B,2024-01-15 20:00:00,,False,70.0
A,B,2024-01-15 22:00:00,,False,72.0
A,B,2024-01-16 00:00:00,135.6616415793326,True,74.0
A,B,2024-01-16 02:00:00,126.45330618682851,True,2.0
A,B,2024-01-16 04:00:00,124.30753300393476,True,2.0
A,B,2024-01-16 06:00:00,123.74783225808662,True,2.0
A,B,2024-01-16 08:00:00,120.86222537788056,True,2.0
A,B,2024-01-16 10:00:00,125.6763522418171,True,2.0
A,B,2024-01-16 12:00:00,138.41667324902411,True,2.0
A,B,2024-01-16 14:00:00,128.23197733701355,True,2.0
A,B,2024-01-16 16:00:00,118.06193694509967,True,2.0
A,B,2024-01-16 18:00:00,138.70560723776612,True,2.0
A,B,2024-01-16 20:00:00,127.8877154631737,True,2.0
A,B,2024-01-16 22:00:00,115.5856591155777,True,2.0
A,B,2024-01-17 00:00:00,126.88979318001392,True,2.0
A,B,2024-01-17 02:00:00,118.12879266103307,True,2.0
A,B,2024-01-17 04:00:00,116.16765485331896,True,2.0
A,B,2024-01-17 06:00:00,129.227920369082,True,2.0
A,B,2024-01-17 08:00:00,120.10134161782128,True,2.0
A,B,2024-01-17 10:00:00,136.71654959059384,True,2.0
A,B,2024-01-17 12:00:00,129.21483399754072,True,2.0
A,B,2024-01-17 14:00:00,124.76875867486493,True,2.0
A,B,2024-01-17 16:00:00,127.39534688824068,True,2.0
A,B,2024-01-17 18:00:00,119.31647584705188,True,2.0
A,B,2024-01-17 20:00:00,120.18965878439217,True,2.0
A,B,2024-01-17 22:00:00,131.17216237826645,True,2.0
A,B,2024-01-18 00:00:00,122.1551079040268,True,2.0
A,B,2024-01-18 02:00:00,115.97569499292938,True,2.0
A,B,2024-01-18 04:00:00,139.46004645507583,True,2.0
A,B,2024-01-18 06:00:00,115.9938960077331,True,2.0
A,B,2024-01-18 08:00:00,120.8621583314543,True,2.0
A,B,2024-01-18 10:00:00,136.47754577269023,True,2.0
A,B,2024-01-18 12:00:00,123.50824787487817,True,2.0
A,B,2024-01-18 14:00:00,135.28243748401468,True,2.0
A,B,2024-01-18 16:00:00,129.65003644928643,True,2.0
A,B,2024-01-18 18:00:00,,False,2.0
A,B,2024-01-18 20:00:00,134.86036806634843,True,4.0
A,B,2024-01-18 22:00:00,130.96160708442358,True,2.0
A,B,2024-01-19 00:00:00,117.54184035745352,True,2.0
A,B,2024-01-19 02:00:00,116.850554711829,True,2.0
A,B,2024-01-19 04:00:00,121.04345149139724,True,2.0
A,B,2024-01-19 06:00:00,132.33690409370246,True,2.0
A,B,2024-01-19 08:00:00,130.222241897172,True,2.0
A,B,2024-01-19 10:00:00,126.52662513200126,True,2.0
A,B,2024-01-19 12:00:00,135.59589885296842,True,2.0
A,B,2024-01-19 14:00:00,124.87911163998318,True,2.0
A,B,2024-01-19 16:00:00,114.22567882823805,True,2.0
A,B,2024-01-19 18:00:00,130.29517257073286,True,2.0
A,B,2024-01-19 20:00:00,132.93595751725385,True,2.0
A,B,2024-01-19 22:00:00,,False,2.0
A,B,2024-01-20 00:00:00,,False,4.0
A,B,2024-01-20 02:00:00,,False,6.0
A,B,2024-01-20 04:00:00,,False,8.0
A,B,2024-01-20 06:00:00,,False,10.0
A,B,2024-01-20 08:00:00,,False,12.0
A,B,2024-01-20 10:00:00,,False,14.0
A,B,2024-01-20 12:00:00,,False,16.0
A,B,2024-01-20 14:00:00,,False,18.0
A,B,2024-01-20 16:00:00,,False,20.0
A,B,2024-01-20 18:00:00,,False,22.0
A,B,2024-01-20 20:00:00,,False,24.0
A,B,2024-01-20 22:00:00,,False,26.0
A,B,2024-01-21 00:00:00,,False,28.0
A,B,2024-01-21 02:00:00,,False,30.0
A,B,2024-01-21 04:00:00,,False,32.0
A,B,2024-01-21 06:00:00,,False,34.0
A,B,2024-01-21 08:00:00,,False,36.0
A,B,2024-01-21 10:00:00,,False,38.0
A,B,2024-01-21 12:00:00,,False,40.0
A,B,2024-01-21 14:00:00,,False,42.0
A,B,2024-01-21 16:00:00,,False,44.0
A,B,2024-01-21 18:00:00,,False,46.0
A,B,2024-01-21 20:00:00,,False,48.0
A,B,2024-01-21 22:00:00,,False,50.0
A,B,2024-01-22 00:00:00,116.04419535210972,True,52.0
A,B,2024-01-22 02:00:00,137.06253961659493,True,2.0
A,B,2024-01-22 04:00:00,135.3039981134609,True,2.0
A,B,2024-01-22 06:00:00,117.891924400861,True,2.0
A,B,2024-01-22 08:00:00,121.95425824880708,True,2.0
A,B,2024-01-22 10:00:00,134.32819542589024,True,2.0
A,B,2024-01-22 12:00:00,136.93562231288251,True,2.0
A,B,2024-01-22 14:00:00,120.46469516056646,True,2.0
A,B,2024-01-22 16:00:00,133.92222565459014,True,2.0
A,B,2024-01-22 18:00:00,124.44290046818892,True,2.0
A,B,2024-01-22 20:00:00,118.05576126417184,True,2.0
A,B,2024-01-22 22:00:00,136.0651738876172,True,2.0
A,B,2024-01-23 00:00:00,134.69975585722915,True,2.0
A,B,2024-01-23 02:00:00,114.76441662242009,True,2.0
A,B,2024-01-23 04:00:00,122.56113369462236,True,2.0
A,B,2024-01-23 06:00:00,134.4832382892311,True,2.0
A,B,2024-01-23 08:00:00,134.69918762946662,True,2.0
A,B,2024-01-23 10:00:00,134.10632071270385,True,2.0
A,B,2024-01-23 12:00:00,136.2569495059915,True,2.0
A,B,2024-01-23 14:00:00,119.77744522833436,True,2.0
A,B,2024-01-23 16:00:00,125.81064860693658,True,2.0
A,B,2024-01-23 18:00:00,134.3084929140153,True,2.0
A,B,2024-01-23 20:00:00,114.73596062252788,True,2.0
A,B,2024-01-23 22:00:00,122.4616195795324,True,2.0
A,B,2024-01-24 00:00:00,138.6594390508137,True,2.0
A,B,2024-01-24 02:00:00,130.40596950053467,True,2.0
A,B,2024-01-24 04:00:00,139.0211373443895,True,2.0
A,B,2024-01-24 06:00:00,137.9580884827667,True,2.0
A,B,2024-01-24 08:00:00,138.74850315618556,True,2.0
A,B,2024-01-24 10:00:00,138.54898638028368,True,2.0
A,B,2024-01-24 12:00:00,116.88521569679163,True,2.0
A,B,2024-01-24 14:00:00,132.61420002559342,True,2.0
A,B,2024-01-24 16:00:00,129.5113256918674,True,2.0
A,B,2024-01-24 18:00:00,123.9056519254363,True,2.0
A,B,2024-01-24 20:00:00,120.5964019016294,True,2.0
A,B,2024-01-24 22:00:00,114.1786444790876,True,2.0
A,B,2024-01-25 00:00:00,127.79277470325624,True,2.0
A,B,2024-01-25 02:00:00,132.95419817229225,True,2.0
A,B,2024-01-25 04:00:00,123.37367886183245,True,2.0
A,B,2024-01-25 06:00:00,130.9831399332031,True,2.0
A,B,2024-01-25 08:00:00,122.0977470509567,True,2.0
A,B,2024-01-25 10:00:00,132.39123463408836,True,2.0
A,B,2024-01-25 12:00:00,121.98028911976895,True,2.0
A,B,2024-01-25 14:00:00,124.3420297603137,True,2.0
A,B,2024-01-25 16:00:00,117.36421177248388,True,2.0
A,B,2024-01-25 18:00:00,137.98666123614123,True,2.0
A,B,2024-01-25 20:00:00,137.03405575158675,True,2.0
A,B,2024-01-25 22:00:00,121.76888973756049,True,2.0
A,B,2024-01-26 00:00:00,114.14604379614568,True,2.0
A,B,2024-01-26 02:00:00,125.03921562166684,True,2.0
A,B,2024-01-26 04:00:00,130.74137350352586,True,2.0
A,B,2024-01-26 06:00:00,125.35046759291724,True,2.0
A,B,2024-01-26 08:00:00,126.13740533401216,True,2.0
A,B,2024-01-26 10:00:00,134.3257213493869,True,2.0
A,B,2024-01-26 12:00:00,116.28645929806952,True,2.0
A,B,2024-01-26 14:00:00,130.1893428228561,True,2.0
A,B,2024-01-26 16:00:00,134.89383087746194,True,2.0
A,B,2024-01-26 18:00:00,131.2002003978439,True,2.0
A,B,2024-01-26 20:00:00,119.18637969375408,True,2.0
A,B,2024-01-26 22:00:00,120.34581148886603,True,2.0
A,B,2024-01-27 00:00:00,,False,2.0
A,B,2024-01-27 02:00:00,,False,4.0
A,B,2024-01-27 04:00:00,,False,6.0
A,B,2024-01-27 06:00:00,,False,8.0
A,B,2024-01-27 08:00:00,,False,10.0
A,B,2024-01-27 10:00:00,,False,12.0
A,B,2024-01-27 12:00:00,,False,14.0
A,B,2024-01-27 14:00:00,,False,16.0
A,B,2024-01-27 16:00:00,,False,18.0
A,B,2024-01-27 18:00:00,,False,20.0
A,B,2024-01-27 20:00:00,,False,22.0
A,B,2024-01-27 22:00:00,,False,24.0
A,B,2024-01-28 00:00:00,,False,26.0
A,B,2024-01-28 02:00:00,,False,28.0
A,B,2024-01-28 04:00:00,,False,30.0
A,B,2024-01-28 06:00:00,,False,32.0
A,B,2024-01-28 08:00:00,,False,34.0
A,B,2024-01-28 10:00:00,,False,36.0
A,B,2024-01-28 12:00:00,,False,38.0
A,B,2024-01-28 14:00:00,,False,40.0
A,B,2024-01-28 16:00:00,,False,42.0
A,B,2024-01-28 18:00:00,,False,44.0
A,B,2024-01-28 20:00:00,,False,46.0
A,B,2024-01-28 22:00:00,,False,48.0
A,B,2024-01-29 00:00:00,135.68806933660758,True,50.0
A,B,2024-01-29 02:00:00,124.64742211958162,True,2.0
A,B,2024-01-29 04:00:00,119.06730577444388,True,2.0
A,B,2024-01-29 06:00:00,126.6748828232774,True,2.0
A,B,2024-01-29 08:00:00,,False,2.0
A,B,2024-01-29 10:00:00,133.18283487120576,True,4.0
A,B,2024-01-29 12:00:00,116.83917458781036,True,2.0
A,B,2024-01-29 14:00:00,118.59684950815544,True,2.0
A,B,2024-01-29 16:00:00,127.27296888864366,True,2.0
A,B,2024-01-29 18:00:00,120.4562881861076,True,2.0
A,B,2024-01-29 20:00:00,125.71321702639509,True,2.0
A,B,2024-01-29 22:00:00,131.06785523073611,True,2.0
A,B,2024-01-30 00:00:00,129.23850232592676,True,2.0
A,B,2024-01-30 02:00:00,136.74542876739426,True,2.0
A,B,2024-01-30 04:00:00,132.37905250119775,True,2.0
A,B,2024-01-30 06:00:00,135.20188846482856,True,2.0
A,B,2024-01-30 08:00:00,136.89208502156038,True,2.0
A,B,2024-01-30 10:00:00,126.17515258531664,True,2.0
A,B,2024-01-30 12:00:00,120.4066127032597,True,2.0
A,B,2024-01-30 14:00:00,133.55946274272264,True,2.0
A,B,2024-01-30 16:00:00,130.03228141213108,True,2.0
A,B,2024-01-30 18:00:00,116.10099675175462,True,2.0
A,B,2024-01-30 20:00:00,121.02739372714666,True,2.0
A,B,2024-01-30 22:00:00,127.83589836998802,True,2.0
A,B,2024-01-31 00:00:00,120.00134817002676,True,2.0
A,B,2024-01-31 02:00:00,132.0530092911867,True,2.0
A,B,2024-01-31 04:00:00,124.4738941531081,True,2.0
A,B,2024-01-31 06:00:00,124.6812373231482,True,2.0
A,B,2024-01-31 08:00:00,124.79205764732944,True,2.0
A,B,2024-01-31 10:00:00,128.950045674296,True,2.0
A,B,2024-01-31 12:00:00,135.86547021682884,True,2.0
A,B,2024-01-31 14:00:00,,False,2.0
A,B,2024-01-31 16:00:00,123.0575819601208,True,4.0
A,B,2024-01-31 18:00:00,135.7821744113933,True,2.0
A,B,2024-01-31 20:00:00,124.76359383682706,True,2.0
A,B,2024-01-31 22:00:00,127.98757430907848,True,2.0
A,B,2024-02-01 00:00:00,119.72938080779676,True,2.0
A,B,2024-02-01 02:00:00,125.1900733048778,True,2.0
A,B,2024-02-01 04:00:00,122.66116925798048,True,2.0
A,B,2024-02-01 06:00:00,124.39063337988722,True,2.0
A,B,2024-02-01 08:00:00,125.99039756065936,True,2.0
A,B,2024-02-01 10:00:00,129.91836186266025,True,2.0
A,B,2024-02-01 12:00:00,124.12948031904686,True,2.0
A,B,2024-02-01 14:00:00,114.82315048360736,True,2.0
A,B,2024-02-01 16:00:00,117.57756162120396,True,2.0
A,B,2024-02-01 18:00:00,115.41114202112576,True,2.0
A,B,2024-02-01 20:00:00,119.50419325736188,True,2.0
A,B,2024-02-01 22:00:00,133.4431970595189,True,2.0
A,B,2024-02-02 00:00:00,133.20934852770105,True,2.0
A,B,2024-02-02 02:00:00,120.53423661477416,True,2.0
A,B,2024-02-02 04:00:00,114.62737573621604,True,2.0
A,B,2024-02-02 06:00:00,139.49690945212916,True,2.0
A,B,2024-02-02 08:00:00,130.6256771281622,True,2.0
A,B,2024-02-02 10:00:00,130.66652661649027,True,2.0
A,B,2024-02-02 12:00:00,138.22122445168355,True,2.0
A,B,2024-02-02 14:00:00,114.65265630392784,True,2.0
A,B,2024-02-02 16:00:00,117.3371533778036,True,2.0
A,B,2024-02-02 18:00:00,128.43998995348716,True,2.0
A,B,2024-02-02 20:00:00,131.87662719250372,True,2.0
A,B,2024-02-02 22:00:00,118.39146759855916,True,2.0
A,B,2024-02-03 00:00:00,,False,2.0
A,B,2024-02-03 02:00:00,,False,4.0
A,B,2024-02-03 04:00:00,,False,6.0
A,B,2024-02-03 06:00:00,,False,8.0
A,B,2024-02-03 08:00:00,,False,10.0
A,B,2024-02-03 10:00:00,,False,12.0
A,B,2024-02-03 12:00:00,,False,14.0
A,B,2024-02-03 14:00:00,,False,16.0
A,B,2024-02-03 16:00:00,,False,18.0
A,B,2024-02-03 18:00:00,,False,20.0
A,B,2024-02-03 20:00:00,,False,22.0
A,B,2024-02-03 22:00:00,,False,24.0
A,B,2024-02-04 00:00:00,,False,26.0
A,B,2024-02-04 02:00:00,,False,28.0
A,B,2024-02-04 04:00:00,,False,30.0
A,B,2024-02-04 06:00:00,,False,32.0
A,B,2024-02-04 08:00:00,,False,34.0
A,B,2024-02-04 10:00:00,,False,36.0
A,B,2024-02-04 12:00:00,,False,38.0
A,B,2024-02-04 14:00:00,,False,40.0
A,B,2024-02-04 16:00:00,,False,42.0
A,B,2024-02-04 18:00:00,,False,44.0
A,B,2024-02-04 20:00:00,,False,46.0
A,B,2024-02-04 22:00:00,,False,48.0
A,B,2024-02-05 00:00:00,133.1057596433839,True,50.0
A,B,2024-02-05 02:00:00,134.91609266888557,True,2.0
A,B,2024-02-05 04:00:00,116.87751032760428,True,2.0
A,B,2024-02-05 06:00:00,122.04807515670528,True,2.0
A,B,2024-02-05 08:00:00,138.43836404648644,True,2.0
A,B,2024-02-05 10:00:00,132.27102285803147,True,2.0
A,B,2024-02-05 12:00:00,131.65214613725354,True,2.0
A,B,2024-02-05 14:00:00,116.72032145444844,True,2.0
A,B,2024-02-05 16:00:00,135.70215988834346,True,2.0
A,B,2024-02-05 18:00:00,117.2061278270054,True,2.0
A,B,2024-02-05 20:00:00,133.98611896004908,True,2.0
A,B,2024-02-05 22:00:00,125.00091326883592,True,2.0
A,B,2024-02-06 00:00:00,126.96868398025065,True,2.0
A,B,2024-02-06 02:00:00,135.6839587344782,True,2.0
A,B,2024-02-06 04:00:00,116.81258283752553,True,2.0
A,B,2024-02-06 06:00:00,130.2564102649192,True,2.0
A,B,2024-02-06 08:00:00,132.0755701750102,True,2.0
A,B,2024-02-06 10:00:00,132.74736457044108,True,2.0
A,B,2024-02-06 12:00:00,120.98598247025774,True,2.0
A,B,2024-02-06 14:00:00,127.7856959878334,True,2.0
A,B,2024-02-06 16:00:00,125.18344117985424,True,2.0
A,B,2024-02-06 18:00:00,120.9431978396428,True,2.0
A,B,2024-02-06 20:00:00,135.20599352615014,True,2.0
A,B,2024-02-06 22:00:00,136.49699983846415,True,2.0
A,B,2024-02-07 00:00:00,125.92238070464064,True,2.0
A,B,2024-02-07 02:00:00,123.74824277016472,True,2.0
A,B,2024-02-07 04:00:00,135.7188895821953,True,2.0
A,B,2024-02-07 06:00:00,119.51584945856747,True,2.0
A,B,2024-02-07 08:00:00,122.76793182287436,True,2.0
A,B,2024-02-07 10:00:00,131.9202214449914,True,2.0
A,B,2024-02-07 12:00:00,114.39321553081516,True,2.0
A,B,2024-02-07 14:00:00,116.30719206255452,True,2.0
A,B,2024-02-07 16:00:00,126.5277917185367,True,2.0
A,B,2024-02-07 18:00:00,131.65201737979186,True,2.0
A,B,2024-02-07 20:00:00,126.5846944311289,True,2.0
A,B,2024-02-07 22:00:00,116.49590635499696,True,2.0
A,B,2024-02-08 00:00:00,131.68189091147954,True,2.0
A,B,2024-02-08 02:00:00,128.88603254196943,True,2.0
A,B,2024-02-08 04:00:00,127.60178587938252,True,2.0
A,B,2024-02-08 06:00:00,133.05528082009903,True,2.0
A,B,2024-02-08 08:00:00,131.96260871873184,True,2.0
A,B,2024-02-08 10:00:00,120.51222476016927,True,2.0
A,B,2024-02-08 12:00:00,119.02035937528144,True,2.0
A,B,2024-02-08 14:00:00,127.72713316230092,True,2.0
A,B,2024-02-08 16:00:00,118.83179568071726,True,2.0
A,B,2024-02-08 18:00:00,126.41671836895168,True,2.0
A,B,2024-02-08 20:00:00,138.90591948030738,True,2.0
A,B,2024-02-08 22:00:00,121.31358521352723,True,2.0
A,B,2024-02-09 00:00:00,119.0592488394684,True,2.0
A,B,2024-02-09 02:00:00,118.68701324817503,True,2.0
A,B,2024-02-09 04:00:00,127.68328281379696,True,2.0
A,B,2024-02-09 06:00:00,138.84727674159595,True,2.0
A,B,2024-02-09 08:00:00,131.8246934404058,True,2.0
A,B,2024-02-09 10:00:00,136.16296288638864,True,2.0
A,B,2024-02-09 12:00:00,136.27097430611113,True,2.0
A,B,2024-02-09 14:00:00,126.04129692234494,True,2.0
A,B,2024-02-09 16:00:00,118.81185560638244,True,2.0
A,B,2024-02-09 18:00:00,138.00441380985325,True,2.0
A,B,2024-02-09 20:00:00,134.987477502388,True,2.0
A,B,2024-02-09 22:00:00,116.0147308329898,True,2.0
A,B,2024-02-10 00:00:00,,False,2.0
A,B,2024-02-10 02:00:00,,False,4.0
A,B,2024-02-10 04:00:00,,False,6.0
A,B,2024-02-10 06:00:00,,False,8.0
A,B,2024-02-10 08:00:00,,False,10.0
A,B,2024-02-10 10:00:00,,False,12.0
A,B,2024-02-10 12:00:00,,False,14.0
A,B,2024-02-10 14:00:00,,False,16.0
A,B,2024-02-10 16:00:00,,False,18.0
A,B,2024-02-10 18:00:00,,False,20.0
A,B,2024-02-10 20:00:00,,False,22.0
A,B,2024-02-10 22:00:00,,False,24.0
A,B,2024-02-11 00:00:00,,False,26.0
A,B,2024-02-11 02:00:00,,False,28.0
A,B,2024-02-11 04:00:00,,False,30.0
A,B,2024-02-11 06:00:00,,False,32.0
A,B,2024-02-11 08:00:00,,False,34.0
A,B,2024-02-11 10:00:00,,False,36.0
A,B,2024-02-11 12:00:00,,False,38.0
A,B,2024-02-11 14:00:00,,False,40.0
